split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
29,20221003,383.8750,75,669,757,4630
29,20221004,645.0350,66,665,768,4630
29,20221005,628.2900,79,657,783,4630
29,20221006,1324.8900,114,621,797,4630
29,20221007,-499.2300,77,661,768,4630
29,20221010,1157.2900,104,675,762,4630
29,20221011,-1923.3950,98,671,769,4630
29,20221012,-419.0600,94,688,740,4630
29,20221013,7404.9400,244,670,763,4630
29,20221014,1000.3100,156,670,746,4630
29,20221017,-319.9550,67,693,741,4630
29,20221018,513.8000,130,571,866,4630
29,20221019,573.4400,94,540,860,4630
30,20220429,-1039.2550,137,556,882,4630
30,20220502,-999.8500,265,591,849,4630
30,20220503,1209.8950,177,550,865,4630
30,20220504,4122.2800,228,677,760,4630
30,20220505,-783.2600,299,534,890,4630
30,20220506,-336.9300,307,622,816,4630
30,20220509,-474.0100,224,583,853,4630
30,20220510,2831.8600,311,571,869,4630
30,20220511,-1851.2700,248,570,866,4630
30,20220512,-3191.6750,270,498,937,4630
